sku,nombre,categoria,stock_actual,stock_minimo,unidades_faltantes,valor_inventario
SKU73934,Audifonos Gaming Gigabyte,Audio,0,50,50,0.00
SKU74039,Audifonos Apple,Audio,0,50,50,0.00
SKU75104,Monitor Gaming Logitech,Electronica,0,50,50,0.00
SKU75278,Touchpad Logitech,Accesorios,0,50,50,0.00
SKU75981,Bocina Bluetooth,Audio,0,50,50,0.00
SKU76257,NAS Canon,Almacenamiento,0,50,50,0.00
SKU78447,USB Drive BenQ,Almacenamiento,0,50,50,0.00
SKU79055,Bocina Logitech,Audio,0,50,50,0.00
SKU81559,Mouse Gaming HP,Accesorios,0,50,50,0.00
SKU82297,Mouse Gaming Gigabyte,Accesorios,0,50,50,0.00
SKU83993,MicroSD Asus,Almacenamiento,0,50,50,0.00
SKU84537,Monitor Gaming Anker,Electronica,0,50,50,0.00
SKU84737,Microfono Gigabyte,Audio,0,50,50,0.00
SKU86420,USB Drive HP,Almacenamiento,0,50,50,0.00
SKU87270,Mouse MSI,Accesorios,0,50,50,0.00
SKU88572,Monitor Gaming,Electronica,0,50,50,0.00
SKU89747,USB Drive LG,Almacenamiento,0,50,50,0.00
SKU90425,Notebook Corsair,Electronica,0,50,50,0.00
SKU90546,Licencia Antivirus,Software,0,50,50,0.00
SKU94641,Monitor MSI,Electronica,0,50,50,0.00
SKU95333,Smartwatch,Electronica,0,50,50,0.00
SKU95988,SSD WD,Almacenamiento,0,50,50,0.00
SKU96407,Pantalla Portatil Asus,Electronica,0,50,50,0.00
SKU98945,Barra Sonido Acer,Audio,0,50,50,0.00
SKU99453,Audifonos Gaming Xiaomi,Audio,0,50,50,0.00
SKU01109,Fuente Poder Epson,Componentes,1,50,49,2927.14
SKU02526,SSD Externo Canon,Almacenamiento,1,50,49,2226.20
SKU04665,Monitor Gaming Xiaomi,Electronica,1,50,49,20980.37
SKU04833,Monitor Curvo Xiaomi,Electronica,1,50,49,20342.37
SKU05620,Bocina WD,Audio,1,50,49,1969.56
SKU07092,Bocina Bluetooth Lenovo,Audio,1,50,49,3546.12
SKU07473,MacBook Epson,Electronica,1,50,49,24035.33
SKU08650,Microfono MSI,Audio,1,50,49,2321.76
SKU08934,MicroSD Canon,Almacenamiento,1,50,49,243.84
SKU09160,Microfono USB Razer,Audio,1,50,49,1387.95
SKU10030,Chromebook Asus,Electronica,1,50,49,7164.57
SKU10531,Microfono USB Razer,Audio,1,50,49,1071.02
SKU11378,MacBook BenQ,Electronica,1,50,49,27230.02
SKU12443,Monitor 4K MSI,Electronica,1,50,49,22983.49
SKU13745,Placa Base,Componentes,1,50,49,5298.98
SKU14176,SSD Externo Apple,Almacenamiento,1,50,49,4545.06
SKU14566,Monitor Gaming HyperX,Electronica,1,50,49,20307.39
SKU15048,Impresora Laser,Impresion,1,50,49,8838.48
SKU15766,MacBook Corsair,Electronica,1,50,49,32199.42
SKU16416,Barra Sonido Logitech,Audio,1,50,49,1765.96
SKU16615,SSD Kingston,Almacenamiento,1,50,49,997.90
SKU16678,Monitor Curvo MSI,Electronica,1,50,49,16995.59
SKU16711,Stylus Asus,Accesorios,1,50,49,2668.84
SKU17409,Tarjeta Video Dell,Componentes,1,50,49,10288.91
SKU17470,Touchpad SanDisk,Accesorios,1,50,49,1235.24
SKU17612,Microfono HyperX,Audio,1,50,49,3098.64
SKU17912,MacBook HyperX,Electronica,1,50,49,29662.79
SKU18040,RAM Asus,Componentes,1,50,49,1129.00
SKU18362,Multicontacto,Energia,1,50,49,200.64
SKU18392,Monitor Canon,Electronica,1,50,49,10845.99
SKU19729,Audifonos Gigabyte,Audio,1,50,49,612.06
SKU20786,Mouse Ergonomico Epson,Accesorios,1,50,49,1279.39
SKU21522,Licencia Adobe,Software,1,50,49,3715.38
SKU22001,Stylus Samsung,Accesorios,1,50,49,347.71
SKU23135,Teclado Gaming Razer,Accesorios,1,50,49,1504.04
SKU25019,NAS Seagate,Almacenamiento,1,50,49,18413.18
SKU25356,Procesador MSI,Componentes,1,50,49,2264.68
SKU25737,Fuente Poder Gigabyte,Componentes,1,50,49,3004.86
SKU25861,Teclado Gaming Dell,Accesorios,1,50,49,3027.14
SKU26106,HDD Externo WD,Almacenamiento,1,50,49,1853.18
SKU26232,Extension Electrica,Energia,1,50,49,307.71
SKU26800,Audifonos Gaming Anker,Audio,1,50,49,1426.93
SKU27182,SSD Externo Epson,Almacenamiento,1,50,49,3995.96
SKU27330,Touchpad Sony,Accesorios,1,50,49,1188.40
SKU27443,Mouse Gaming BenQ,Accesorios,1,50,49,1562.40
SKU27983,Audifonos Gaming LG,Audio,1,50,49,2130.85
SKU29020,Microfono USB Gigabyte,Audio,1,50,49,1472.15
SKU30462,HDD Externo Epson,Almacenamiento,1,50,49,900.58
SKU30481,Microfono USB BenQ,Audio,1,50,49,1861.62
SKU31592,Audifonos LG,Audio,1,50,49,734.02
SKU34367,USB Drive HyperX,Almacenamiento,1,50,49,150.05
SKU34809,Teclado Corsair,Accesorios,1,50,49,548.28
SKU34820,USB Drive Samsung,Almacenamiento,1,50,49,290.08
SKU35878,Laptop Asus,Electronica,1,50,49,15733.76
SKU36547,Audifonos Gaming BenQ,Audio,1,50,49,1318.51
SKU36855,Mouse Gaming MSI,Accesorios,1,50,49,1634.51
SKU39645,Procesador Apple,Componentes,1,50,49,3605.67
SKU40002,SSD Externo Apple,Almacenamiento,1,50,49,2902.88
SKU40189,Ultrabook Asus,Electronica,1,50,49,26773.23
SKU40585,Audifonos Bluetooth BenQ,Audio,1,50,49,1887.91
SKU41129,Monitor Logitech,Electronica,1,50,49,4550.53
SKU42303,SSD Razer,Almacenamiento,1,50,49,1692.85
SKU42688,Monitor Gaming MSI,Electronica,1,50,49,12370.48
SKU43433,Mouse Acer,Accesorios,1,50,49,412.64
SKU44632,SSD Externo HyperX,Almacenamiento,1,50,49,2379.58
SKU44869,Bocina Bluetooth Xiaomi,Audio,1,50,49,2223.45
SKU45091,Teclado Gaming HP,Accesorios,1,50,49,2389.19
SKU45670,Microfono Logitech,Audio,1,50,49,2020.38
SKU45731,Microfono USB Xiaomi,Audio,1,50,49,1913.25
SKU46636,Tarjeta Video,Componentes,1,50,49,6337.79
SKU47394,Laptop MSI,Electronica,1,50,49,14888.63
SKU47998,Monitor Curvo Asus,Electronica,1,50,49,17009.13
SKU49111,Mouse Ergonomico SanDisk,Accesorios,1,50,49,903.69
SKU49910,Disipador,Componentes,1,50,49,1813.77
SKU50472,Tarjeta Video Apple,Componentes,1,50,49,6808.92
SKU50645,Procesador Kingston,Componentes,1,50,49,7528.86
SKU52237,Audifonos Bluetooth Canon,Audio,1,50,49,2056.25
SKU53168,Mouse BenQ,Accesorios,1,50,49,211.29
SKU53447,Extension Electrica,Energia,1,50,49,116.31
SKU55440,Monitor Canon,Electronica,1,50,49,13543.78
SKU56538,Teclado,Accesorios,1,50,49,1452.77
SKU57157,Monitor Apple,Electronica,1,50,49,8073.53
SKU57359,Mouse Gaming Dell,Accesorios,1,50,49,880.01
SKU59028,Audifonos Gaming TP-Link,Audio,1,50,49,666.00
SKU59583,Mouse Ergonomico LG,Accesorios,1,50,49,644.22
SKU59791,MicroSD Apple,Almacenamiento,1,50,49,716.24
SKU61646,USB Drive TP-Link,Almacenamiento,1,50,49,178.43
SKU62651,Teclado Anker,Accesorios,1,50,49,1699.44
SKU65048,Tarjeta Video Samsung,Componentes,1,50,49,5939.59
SKU65896,Bocina Bluetooth Anker,Audio,1,50,49,1661.37
SKU66888,Teclado Mecanico LG,Accesorios,1,50,49,1671.78
SKU69272,Microfono TP-Link,Audio,1,50,49,3714.71
SKU70109,NAS Gigabyte,Almacenamiento,1,50,49,18507.10
SKU70372,Fuente Poder Acer,Componentes,1,50,49,1546.43
SKU74177,Monitor Seagate,Electronica,1,50,49,7087.96
SKU75069,Microfono Corsair,Audio,1,50,49,2152.64
SKU75849,MacBook Gigabyte,Electronica,1,50,49,27697.47
SKU78036,Monitor 4K Samsung,Electronica,1,50,49,14658.22
SKU78474,Monitor Anker,Electronica,1,50,49,6735.86
SKU78936,Procesador Razer,Componentes,1,50,49,6510.81
SKU79765,Barra Sonido LG,Audio,1,50,49,3115.20
SKU79814,Mouse Ergonomico Corsair,Accesorios,1,50,49,791.91
SKU80035,Ultrabook Dell,Electronica,1,50,49,10780.72
SKU80983,RAM Canon,Componentes,1,50,49,1261.91
SKU81099,Ultrabook MSI,Electronica,1,50,49,18955.85
SKU81239,Audifonos Gaming BenQ,Audio,1,50,49,482.73
SKU81249,RAM BenQ,Componentes,1,50,49,1555.59
SKU82805,Audifonos Bluetooth SanDisk,Audio,1,50,49,2122.93
SKU82974,Silla Gaming,Gaming,1,50,49,6198.35
SKU83028,USB Drive Canon,Almacenamiento,1,50,49,197.51
SKU83179,Mouse Ergonomico Xiaomi,Accesorios,1,50,49,830.24
SKU83977,Microfono Logitech,Audio,1,50,49,1867.59
SKU87182,Laptop LG,Electronica,1,50,49,19400.47
SKU87199,Monitor TP-Link,Electronica,1,50,49,5765.31
SKU87265,Audifonos Gaming Anker,Audio,1,50,49,965.36
SKU87810,Tarjeta Video SanDisk,Componentes,1,50,49,14860.73
SKU88055,Teclado Gaming,Accesorios,1,50,49,2675.93
SKU88402,Pantalla Portatil Dell,Electronica,1,50,49,7468.25
SKU89544,HDD Externo Lenovo,Almacenamiento,1,50,49,1467.95
SKU92547,MicroSD Lenovo,Almacenamiento,1,50,49,647.31
SKU95140,Teclado Mecanico SanDisk,Accesorios,1,50,49,2703.97
SKU95542,Touchpad,Accesorios,1,50,49,1345.82
SKU96426,Cable HDMI,Cables,1,50,49,169.06
SKU97070,Procesador Anker,Componentes,1,50,49,3487.04
SKU97898,Tarjeta Video TP-Link,Componentes,1,50,49,21867.91
SKU98621,Microfono USB Xiaomi,Audio,1,50,49,1652.95
SKU99384,Monitor Curvo Epson,Electronica,1,50,49,22727.13
SKU99502,Mouse Gaming Corsair,Accesorios,1,50,49,822.21
SKU00903,Stylus Logitech,Accesorios,2,50,48,4418.78
SKU01516,Repetidor WiFi,Redes,2,50,48,536.50
SKU02414,Teclado Mecanico HP,Accesorios,2,50,48,3970.04
SKU02619,Laptop BenQ,Electronica,2,50,48,31092.10
SKU04117,Monitor 4K LG,Electronica,2,50,48,25447.76
SKU04378,Teclado HyperX,Accesorios,2,50,48,3048.44
SKU06712,Monitor 4K Xiaomi,Electronica,2,50,48,55202.94
SKU07033,Notebook Lenovo,Electronica,2,50,48,28610.34
SKU07499,UPS,Energia,2,50,48,5172.24
SKU08078,Pantalla Portatil Sony,Electronica,2,50,48,7443.80
SKU08119,Touchpad HP,Accesorios,2,50,48,2412.80
SKU08253,Microfono USB HyperX,Audio,2,50,48,1558.46
SKU09570,Audifonos Lenovo,Audio,2,50,48,1630.58
SKU10587,Audifonos Bluetooth Asus,Audio,2,50,48,4683.64
SKU11091,Licencia Adobe,Software,2,50,48,8109.68
SKU12794,Audifonos Bluetooth Apple,Audio,2,50,48,2425.26
SKU13492,SSD Kingston,Almacenamiento,2,50,48,5421.94
SKU14069,Ultrabook Samsung,Electronica,2,50,48,30932.32
SKU16034,Chromebook Samsung,Electronica,2,50,48,12310.64
SKU16689,Audifonos Anker,Audio,2,50,48,971.60
SKU18533,MicroSD Epson,Almacenamiento,2,50,48,1375.26
SKU19373,Chromebook HP,Electronica,2,50,48,17105.60
SKU19872,Touchpad MSI,Accesorios,2,50,48,1295.16
SKU20119,Touchpad Xiaomi,Accesorios,2,50,48,1564.32
SKU20291,Notebook TP-Link,Electronica,2,50,48,24444.30
SKU20683,Audifonos Bluetooth WD,Audio,2,50,48,3061.94
SKU21406,Tarjeta Video Corsair,Componentes,2,50,48,23472.56
SKU22289,Touchpad Seagate,Accesorios,2,50,48,1984.28
SKU22351,Chromebook BenQ,Electronica,2,50,48,20317.58
SKU23641,USB Drive Seagate,Almacenamiento,2,50,48,228.70
SKU24347,SSD Externo TP-Link,Almacenamiento,2,50,48,9543.28
SKU24712,Procesador Samsung,Componentes,2,50,48,23245.50
SKU25307,Microfono LG,Audio,2,50,48,2282.14
SKU25832,Audifonos Apple,Audio,2,50,48,596.50
SKU25986,RAM Xiaomi,Componentes,2,50,48,4536.94
SKU27553,Pantalla Portatil Asus,Electronica,2,50,48,11037.88
SKU28593,SSD TP-Link,Almacenamiento,2,50,48,1942.54
SKU29649,Bocina Bluetooth Acer,Audio,2,50,48,5380.62
SKU29679,Ultrabook LG,Electronica,2,50,48,45574.12
SKU29879,Mouse Samsung,Accesorios,2,50,48,568.58
SKU31301,Microfono Samsung,Audio,2,50,48,5386.66
SKU32750,UPS,Energia,2,50,48,11935.58
SKU32972,Mouse Ergonomico TP-Link,Accesorios,2,50,48,1679.92
SKU33835,Chromebook Acer,Electronica,2,50,48,19334.64
SKU34025,SSD Acer,Almacenamiento,2,50,48,3311.56
SKU35524,Cargador Inalambrico,Accesorios,2,50,48,2179.06
SKU36464,Audifonos Canon,Audio,2,50,48,772.28
SKU36745,HDD Externo HP,Almacenamiento,2,50,48,2630.98
SKU37974,Chromebook Acer,Electronica,2,50,48,16115.36
SKU38507,NAS Seagate,Almacenamiento,2,50,48,16892.20
SKU38586,Monitor Curvo Gigabyte,Electronica,2,50,48,21933.94
SKU39411,Notebook Xiaomi,Electronica,2,50,48,15356.58
SKU40831,Monitor 4K Sony,Electronica,2,50,48,33249.20
SKU40866,Monitor Gaming SanDisk,Electronica,2,50,48,33279.80
SKU41176,MicroSD HyperX,Almacenamiento,2,50,48,407.10
SKU42070,MacBook Asus,Electronica,2,50,48,59187.58
SKU42549,Microfono TP-Link,Audio,2,50,48,4055.98
SKU45163,Monitor Kingston,Electronica,2,50,48,21251.14
SKU45962,Bocina Bluetooth Kingston,Audio,2,50,48,1964.90
SKU51750,Monitor Gaming Acer,Electronica,2,50,48,45531.28
SKU51819,Ultrabook Apple,Electronica,2,50,48,26734.04
SKU51830,SSD HyperX,Almacenamiento,2,50,48,4645.92
SKU52096,HDD Razer,Almacenamiento,2,50,48,1665.52
SKU54212,Microfono USB Xiaomi,Audio,2,50,48,4013.44
SKU54992,Touchpad,Accesorios,2,50,48,2937.28
SKU55643,HDD Epson,Almacenamiento,2,50,48,2195.82
SKU55969,Tapete Gaming,Gaming,2,50,48,1674.00
SKU56308,Mouse Ergonomico Sony,Accesorios,2,50,48,1177.52
SKU56442,Bocina Logitech,Audio,2,50,48,2921.42
SKU57127,Mouse Gigabyte,Accesorios,2,50,48,594.28
SKU57953,Notebook BenQ,Electronica,2,50,48,29618.72
SKU58413,MacBook BenQ,Electronica,2,50,48,76690.36
SKU58636,MacBook Lenovo,Electronica,2,50,48,76982.82
SKU59682,Touchpad TP-Link,Accesorios,2,50,48,2068.14
SKU60854,Chromebook LG,Electronica,2,50,48,24785.98
SKU62048,Notebook Acer,Electronica,2,50,48,29091.94
SKU64517,HDD LG,Almacenamiento,2,50,48,5827.30
SKU64538,NAS WD,Almacenamiento,2,50,48,26934.94
SKU65971,iPad,Electronica,2,50,48,34207.20
SKU66148,Monitor MSI,Electronica,2,50,48,18334.72
SKU66787,Microfono USB Asus,Audio,2,50,48,2334.36
SKU67657,Touchpad Logitech,Accesorios,2,50,48,1674.72
SKU67795,HDD Canon,Almacenamiento,2,50,48,4188.42
SKU67843,Mouse Gaming LG,Accesorios,2,50,48,3402.94
SKU70682,Monitor HP,Electronica,2,50,48,9396.28
SKU72002,Mousepad,Accesorios,2,50,48,911.92
SKU73649,HDD Kingston,Almacenamiento,2,50,48,1790.18
SKU75527,Bocina,Audio,2,50,48,851.98
SKU76133,Barra Sonido Samsung,Audio,2,50,48,14699.08
SKU76346,MacBook Apple,Electronica,2,50,48,56489.50
SKU76352,Touchpad Corsair,Accesorios,2,50,48,4187.40
SKU76400,Monitor Gaming Dell,Electronica,2,50,48,20111.88
SKU76804,NAS HyperX,Almacenamiento,2,50,48,21248.64
SKU77607,Hub USB,Cables,2,50,48,781.38
SKU78159,Mouse Anker,Accesorios,2,50,48,466.40
SKU80254,Mouse Samsung,Accesorios,2,50,48,557.14
SKU81198,Bocina Bluetooth Acer,Audio,2,50,48,7310.00
SKU81994,Mouse Gaming HyperX,Accesorios,2,50,48,2764.26
SKU82504,Teclado Gaming Corsair,Accesorios,2,50,48,2939.78
SKU84167,MacBook LG,Electronica,2,50,48,75840.64
SKU84376,Audifonos Gaming HP,Audio,2,50,48,2616.64
SKU85683,Gabinete,Componentes,2,50,48,1240.34
SKU85891,Audifonos Gaming Sony,Audio,2,50,48,4979.78
SKU86544,Bocina Bluetooth HyperX,Audio,2,50,48,3098.22
SKU88545,Procesador LG,Componentes,2,50,48,21985.30
SKU89595,MacBook Corsair,Electronica,2,50,48,40802.50
SKU90744,Audifonos Gaming HyperX,Audio,2,50,48,1625.82
SKU90761,Chromebook Anker,Electronica,2,50,48,17950.30
SKU91334,Microfono Kingston,Audio,2,50,48,3914.86
SKU91598,RAM Gigabyte,Componentes,2,50,48,1477.94
SKU91769,Mouse Gigabyte,Accesorios,2,50,48,394.56
SKU92244,Teclado Gaming Sony,Accesorios,2,50,48,6131.72
SKU92365,Impresora Laser,Impresion,2,50,48,17259.50
SKU92959,Teclado Asus,Accesorios,2,50,48,2393.50
SKU93447,Mouse Ergonomico Dell,Accesorios,2,50,48,2279.26
SKU93453,Tarjeta Video Razer,Componentes,2,50,48,35187.10
SKU93890,Monitor BenQ,Electronica,2,50,48,13024.86
SKU95814,MicroSD Gigabyte,Almacenamiento,2,50,48,804.22
SKU98339,SSD Externo LG,Almacenamiento,2,50,48,7253.76
SKU99020,Monitor Gigabyte,Electronica,2,50,48,11082.68
SKU01809,Ultrabook Xiaomi,Electronica,3,50,47,52922.13
SKU03352,Tarjeta Video Razer,Componentes,3,50,47,14635.08
SKU03718,HDD Externo HyperX,Almacenamiento,3,50,47,7219.83
SKU04091,Barra Sonido Epson,Audio,3,50,47,19118.67
SKU05273,Monitor WD,Electronica,3,50,47,21533.40
SKU05600,Notebook Sony,Electronica,3,50,47,26548.92
SKU07214,Mouse SanDisk,Accesorios,3,50,47,1258.77
SKU08848,SSD Externo WD,Almacenamiento,3,50,47,7539.06
SKU09970,Barra Sonido Kingston,Audio,3,50,47,6206.61
SKU12062,Microfono,Audio,3,50,47,4355.22
SKU15443,Monitor 4K Razer,Electronica,3,50,47,33053.19
SKU17246,Ultrabook Apple,Electronica,3,50,47,85233.75
SKU17690,SSD Externo Razer,Almacenamiento,3,50,47,8205.18
SKU18267,USB Drive Gigabyte,Almacenamiento,3,50,47,220.77
SKU18914,Mouse Ergonomico Epson,Accesorios,3,50,47,2486.76
SKU18941,Teclado Mecanico Acer,Accesorios,3,50,47,4680.03
SKU19323,Teclado HyperX,Accesorios,3,50,47,2785.89
SKU19857,Ultrabook Anker,Electronica,3,50,47,85485.06
SKU22749,Laptop Gigabyte,Electronica,3,50,47,55977.06
SKU23042,HDD Acer,Almacenamiento,3,50,47,3790.08
SKU23707,MicroSD,Almacenamiento,3,50,47,1024.92
SKU26066,Touchpad Acer,Accesorios,3,50,47,5019.12
SKU26078,Pantalla Portatil BenQ,Electronica,3,50,47,13425.69
SKU26776,USB Drive BenQ,Almacenamiento,3,50,47,707.49
SKU27874,Bocina Bluetooth BenQ,Audio,3,50,47,3553.26
SKU27890,Monitor Gaming Canon,Electronica,3,50,47,36804.63
SKU28621,Ultrabook Dell,Electronica,3,50,47,41824.89
SKU28840,Fuente Poder Asus,Componentes,3,50,47,10597.71
SKU28909,Stylus Anker,Accesorios,3,50,47,6340.65
SKU30815,Audifonos Bluetooth Canon,Audio,3,50,47,6479.79
SKU31138,RAM BenQ,Componentes,3,50,47,2366.19
SKU31207,Bocina Lenovo,Audio,3,50,47,2194.89
SKU31356,Audifonos Bluetooth Canon,Audio,3,50,47,4009.44
SKU32112,Chromebook BenQ,Electronica,3,50,47,21096.63
SKU32965,Monitor Anker,Electronica,3,50,47,22969.14
SKU33137,Stylus Gigabyte,Accesorios,3,50,47,2312.22
SKU33477,Ultrabook Epson,Electronica,3,50,47,76094.88
SKU36061,Teclado Logitech,Accesorios,3,50,47,4620.00
SKU36165,Audifonos Gaming Sony,Audio,3,50,47,4600.47
SKU36994,HDD Logitech,Almacenamiento,3,50,47,3343.50
SKU37056,Ultrabook MSI,Electronica,3,50,47,38106.60
SKU37439,Ultrabook Corsair,Electronica,3,50,47,101933.22
SKU40642,Teclado Gaming BenQ,Accesorios,3,50,47,12920.73
SKU40815,Fuente Poder Asus,Componentes,3,50,47,8486.64
SKU41060,MicroSD Logitech,Almacenamiento,3,50,47,1128.84
SKU41711,Laptop HyperX,Electronica,3,50,47,40055.43
SKU42439,Audifonos Gaming WD,Audio,3,50,47,6369.36
SKU42981,RAM Logitech,Componentes,3,50,47,7409.67
SKU43935,Stylus Canon,Accesorios,3,50,47,5788.11
SKU43963,Teclado Mecanico HyperX,Accesorios,3,50,47,4026.96
SKU44815,Laptop TP-Link,Electronica,3,50,47,59513.49
SKU45487,Cargador Inalambrico,Accesorios,3,50,47,3200.73
SKU45535,MicroSD HyperX,Almacenamiento,3,50,47,2174.31
SKU45927,Mouse Gaming HP,Accesorios,3,50,47,3653.70
SKU46324,RAM Dell,Componentes,3,50,47,4801.50
SKU47210,Mouse Ergonomico MSI,Accesorios,3,50,47,1344.93
SKU47269,Mouse Dell,Accesorios,3,50,47,1362.63
SKU47864,NAS WD,Almacenamiento,3,50,47,27021.45
SKU48996,Teclado Mecanico LG,Accesorios,3,50,47,8791.56
SKU50368,SSD SanDisk,Almacenamiento,3,50,47,9655.23
SKU51017,Stylus Sony,Accesorios,3,50,47,8070.96
SKU51680,Mouse Ergonomico WD,Accesorios,3,50,47,1832.25
SKU51920,Bocina Bluetooth Anker,Audio,3,50,47,3227.82
SKU52853,Audifonos Gaming Razer,Audio,3,50,47,7162.11
SKU54270,MicroSD Seagate,Almacenamiento,3,50,47,1207.47
SKU55920,Microfono USB WD,Audio,3,50,47,1521.75
SKU56206,Teclado Gaming Lenovo,Accesorios,3,50,47,5426.55
SKU56563,Audifonos Sony,Audio,3,50,47,1778.82
SKU57137,Procesador Apple,Componentes,3,50,47,30710.22
SKU58414,Monitor 4K MSI,Electronica,3,50,47,89587.74
SKU59772,Microfono USB Lenovo,Audio,3,50,47,2816.40
SKU60472,Tarjeta Video Anker,Componentes,3,50,47,42995.19
SKU62400,Laptop,Electronica,3,50,47,45093.75
SKU63273,Pantalla Portatil HP,Electronica,3,50,47,7489.62
SKU65410,Monitor Gaming Samsung,Electronica,3,50,47,45682.23
SKU65517,Ultrabook,Electronica,3,50,47,84006.84
SKU65980,Audifonos Bluetooth Apple,Audio,3,50,47,5605.74
SKU67757,Monitor Corsair,Electronica,3,50,47,19115.07
SKU68404,Teclado HP,Accesorios,3,50,47,2734.11
